	                                	
----------------------------------------------------------------

	                                	ImageProcessingApp
	                                	2023.07.27.02.42.25.497233
	                                	
----------------------------------------------------------------

	2023.07.27.02.42.25.576365      	Intializing StrategyManager ... 
	2023.07.27.02.43.54.787660      			Retreving batch #192 w/ 128 samples
	2023.07.27.02.43.55.209342      			Retreving batch #193 w/ 128 samples
	2023.07.27.02.43.55.639568      			Retreving batch #194 w/ 128 samples
	2023.07.27.02.43.56.061466      			Retreving batch #195 w/ 128 samples
	2023.07.27.02.43.56.499297      			Retreving batch #196 w/ 128 samples
	2023.07.27.02.43.56.922165      			Retreving batch #197 w/ 128 samples
	2023.07.27.02.43.57.345035      			Retreving batch #198 w/ 128 samples
	2023.07.27.02.43.57.845696      			Retreving batch #199 w/ 128 samples
	2023.07.27.02.43.58.271754      			Retreving batch #200 w/ 128 samples
	2023.07.27.02.43.58.722548      			Retreving batch #201 w/ 128 samples
	2023.07.27.02.43.59.143150      			Retreving batch #202 w/ 128 samples
	2023.07.27.02.43.59.625236      			Retreving batch #203 w/ 128 samples
	2023.07.27.02.44.00.052309      			Retreving batch #204 w/ 128 samples
	2023.07.27.02.44.00.506347      			Retreving batch #205 w/ 128 samples
	2023.07.27.02.44.00.933063      			Retreving batch #206 w/ 128 samples
	2023.07.27.02.44.01.357475      			Retreving batch #207 w/ 128 samples
	2023.07.27.02.44.01.795304      			Retreving batch #208 w/ 128 samples
	2023.07.27.02.44.02.219586      			Retreving batch #209 w/ 128 samples
	2023.07.27.02.44.02.703439      			Retreving batch #210 w/ 128 samples
	2023.07.27.02.44.03.129367      			Retreving batch #211 w/ 128 samples
	2023.07.27.02.44.03.593792      			Retreving batch #212 w/ 128 samples
	2023.07.27.02.44.04.022707      			Retreving batch #213 w/ 128 samples
	2023.07.27.02.44.04.461535      			Retreving batch #214 w/ 128 samples
	2023.07.27.02.44.04.893168      			Retreving batch #215 w/ 128 samples
	2023.07.27.02.44.05.318097      			Retreving batch #216 w/ 128 samples
	2023.07.27.02.44.05.782854      			Retreving batch #217 w/ 128 samples
	2023.07.27.02.44.06.208218      			Retreving batch #218 w/ 128 samples
	2023.07.27.02.44.06.679203      			Retreving batch #219 w/ 128 samples
	2023.07.27.02.44.07.105848      			Retreving batch #220 w/ 128 samples
	2023.07.27.02.44.07.563874      			Retreving batch #221 w/ 128 samples
	2023.07.27.02.44.07.990732      			Retreving batch #222 w/ 128 samples
	2023.07.27.02.44.08.414599      			Retreving batch #223 w/ 128 samples
	2023.07.27.02.44.08.853001      			Retreving batch #224 w/ 128 samples
	2023.07.27.02.44.09.275328      			Retreving batch #225 w/ 128 samples
	2023.07.27.02.44.09.754048      			Retreving batch #226 w/ 128 samples
	2023.07.27.02.44.10.182497      			Retreving batch #227 w/ 128 samples
	2023.07.27.02.44.10.647033      			Retreving batch #228 w/ 128 samples
	2023.07.27.02.44.11.071006      			Retreving batch #229 w/ 128 samples
	2023.07.27.02.44.11.524740      			Retreving batch #230 w/ 128 samples
	2023.07.27.02.44.11.958580      			Retreving batch #231 w/ 128 samples
	2023.07.27.02.44.12.384311      			Retreving batch #232 w/ 128 samples
	2023.07.27.02.44.12.834108      			Retreving batch #233 w/ 128 samples
	2023.07.27.02.44.13.255908      			Retreving batch #234 w/ 128 samples
	2023.07.27.02.44.13.737879      			Retreving batch #235 w/ 128 samples
	2023.07.27.02.44.14.164525      			Retreving batch #236 w/ 128 samples
	2023.07.27.02.44.14.626996      			Retreving batch #237 w/ 128 samples
	2023.07.27.02.44.15.051963      			Retreving batch #238 w/ 128 samples
	2023.07.27.02.44.15.493861      			Retreving batch #239 w/ 128 samples
	2023.07.27.02.44.15.931745      			Retreving batch #240 w/ 128 samples
	2023.07.27.02.44.16.354636      			Retreving batch #241 w/ 128 samples
	2023.07.27.02.44.16.830364      			Retreving batch #242 w/ 128 samples
	2023.07.27.02.44.17.261212      			Retreving batch #243 w/ 128 samples
	2023.07.27.02.44.17.696774      			Retreving batch #244 w/ 128 samples
	2023.07.27.02.44.18.123972      			Retreving batch #245 w/ 128 samples
	2023.07.27.02.44.18.581800      			Retreving batch #246 w/ 128 samples
	2023.07.27.02.44.19.026751      			Retreving batch #247 w/ 128 samples
	2023.07.27.02.44.19.456805      			Retreving batch #248 w/ 128 samples
	2023.07.27.02.44.19.893636      			Retreving batch #249 w/ 128 samples
	2023.07.27.02.44.20.316393      			Retreving batch #250 w/ 128 samples
	2023.07.27.02.44.20.763199      			Retreving batch #251 w/ 128 samples
	2023.07.27.02.44.21.201487      			Retreving batch #252 w/ 128 samples
	2023.07.27.02.44.21.667685      			Retreving batch #253 w/ 128 samples
	2023.07.27.02.44.22.093147      			Retreving batch #254 w/ 128 samples
	2023.07.27.02.44.22.541947      			Retreving batch #255 w/ 128 samples
	2023.07.27.02.44.22.971812      			Retreving batch #256 w/ 128 samples
	2023.07.27.02.44.23.398019      			Retreving batch #257 w/ 128 samples
	2023.07.27.02.44.23.844824      			Retreving batch #258 w/ 128 samples
	2023.07.27.02.44.24.270993      			Retreving batch #259 w/ 128 samples
	2023.07.27.02.44.24.717896      			Retreving batch #260 w/ 128 samples
	2023.07.27.02.44.25.143757      			Retreving batch #261 w/ 128 samples
	2023.07.27.02.44.25.570616      			Retreving batch #262 w/ 128 samples
	2023.07.27.02.44.25.996546      			Retreving batch #263 w/ 128 samples
	2023.07.27.02.44.26.419416      			Retreving batch #264 w/ 128 samples
	2023.07.27.02.44.26.921075      			Retreving batch #265 w/ 128 samples
	2023.07.27.02.44.27.346062      			Retreving batch #266 w/ 128 samples
	2023.07.27.02.44.27.768931      			Retreving batch #267 w/ 128 samples
	2023.07.27.02.44.28.192671      			Retreving batch #268 w/ 128 samples
	2023.07.27.02.44.28.659782      			Retreving batch #269 w/ 128 samples
	2023.07.27.02.44.29.086297      			Retreving batch #270 w/ 128 samples
	2023.07.27.02.44.29.530111      			Retreving batch #271 w/ 128 samples
	2023.07.27.02.44.29.986889      			Retreving batch #272 w/ 128 samples
	2023.07.27.02.44.30.414134      			Retreving batch #273 w/ 128 samples
	2023.07.27.02.44.30.849969      			Retreving batch #274 w/ 128 samples
	2023.07.27.02.44.31.276827      			Retreving batch #275 w/ 128 samples
	2023.07.27.02.44.31.751558      			Retreving batch #276 w/ 128 samples
	2023.07.27.02.44.32.173114      			Retreving batch #277 w/ 128 samples
	2023.07.27.02.44.32.640420      			Retreving batch #278 w/ 128 samples
	2023.07.27.02.44.33.071357      			Retreving batch #279 w/ 128 samples
	2023.07.27.02.44.33.508189      			Retreving batch #280 w/ 128 samples
	2023.07.27.02.44.33.939657      			Retreving batch #281 w/ 128 samples
	2023.07.27.02.44.34.363523      			Retreving batch #282 w/ 128 samples
	2023.07.27.02.44.34.825289      			Retreving batch #283 w/ 128 samples
	2023.07.27.02.44.35.254143      			Retreving batch #284 w/ 128 samples
	2023.07.27.02.44.35.680610      			Retreving batch #285 w/ 128 samples
	2023.07.27.02.44.36.108466      			Retreving batch #286 w/ 128 samples
	2023.07.27.02.44.36.567763      			Retreving batch #287 w/ 128 samples
	2023.07.27.02.44.37.017976      			Retreving batch #288 w/ 128 samples
	2023.07.27.02.44.37.441754      			Retreving batch #289 w/ 128 samples
	2023.07.27.02.44.37.876349      			Retreving batch #290 w/ 128 samples
	2023.07.27.02.44.38.305647      			Retreving batch #291 w/ 128 samples
	2023.07.27.02.44.38.740484      			Retreving batch #292 w/ 128 samples
	2023.07.27.02.44.39.171332      			Retreving batch #293 w/ 128 samples
	2023.07.27.02.44.39.646373      			Retreving batch #294 w/ 128 samples
	2023.07.27.02.44.40.090008      			Retreving batch #295 w/ 128 samples
	2023.07.27.02.44.40.533014      			Retreving batch #296 w/ 128 samples
	2023.07.27.02.44.40.962166      			Retreving batch #297 w/ 128 samples
	2023.07.27.02.44.41.390022      			Retreving batch #298 w/ 128 samples
	2023.07.27.02.44.41.816881      			Retreving batch #299 w/ 128 samples
	2023.07.27.02.44.42.240118      			Retreving batch #300 w/ 128 samples
	2023.07.27.02.44.42.717841      			Retreving batch #301 w/ 128 samples
	2023.07.27.02.44.43.163649      			Retreving batch #302 w/ 128 samples
	2023.07.27.02.44.43.625920      			Retreving batch #303 w/ 128 samples
	2023.07.27.02.44.44.051512      			Retreving batch #304 w/ 128 samples
	2023.07.27.02.44.44.484872      			Retreving batch #305 w/ 128 samples
	2023.07.27.02.44.44.922701      			Retreving batch #306 w/ 128 samples
	2023.07.27.02.44.45.347820      			Retreving batch #307 w/ 128 samples
	2023.07.27.02.44.45.782658      			Retreving batch #308 w/ 128 samples
	2023.07.27.02.44.46.209517      			Retreving batch #309 w/ 128 samples
	2023.07.27.02.44.46.684316      			Retreving batch #310 w/ 128 samples
	2023.07.27.02.44.47.127176      			Retreving batch #311 w/ 128 samples
	2023.07.27.02.44.47.574532      			Retreving batch #312 w/ 128 samples
	2023.07.27.02.44.48.007806      			Retreving batch #313 w/ 128 samples
	2023.07.27.02.44.48.434665      			Retreving batch #314 w/ 128 samples
	2023.07.27.02.44.48.878478      			Retreving batch #315 w/ 128 samples
	2023.07.27.02.44.49.302073      			Retreving batch #316 w/ 128 samples
	2023.07.27.02.44.49.783784      			Retreving batch #317 w/ 128 samples
	2023.07.27.02.44.50.214633      			Retreving batch #318 w/ 128 samples
	2023.07.27.02.44.50.657375      			Retreving batch #319 w/ 128 samples
	2023.07.27.02.44.51.083385      			Retreving batch #320 w/ 128 samples
	2023.07.27.02.44.51.521190      			Retreving batch #321 w/ 128 samples
	2023.07.27.02.44.51.962010      			Retreving batch #322 w/ 128 samples
	2023.07.27.02.44.52.387637      			Retreving batch #323 w/ 128 samples
	2023.07.27.02.44.52.857381      			Retreving batch #324 w/ 128 samples
	2023.07.27.02.44.53.281904      			Retreving batch #325 w/ 128 samples
	2023.07.27.02.44.53.714800      			Retreving batch #326 w/ 128 samples
	2023.07.27.02.44.54.139697      			Retreving batch #327 w/ 128 samples
	2023.07.27.02.44.54.600752      			Retreving batch #328 w/ 128 samples
	2023.07.27.02.44.55.051547      			Retreving batch #329 w/ 128 samples
	2023.07.27.02.44.55.471736      			Retreving batch #330 w/ 128 samples
	2023.07.27.02.44.55.915550      			Retreving batch #331 w/ 128 samples
	2023.07.27.02.44.56.341411      			Retreving batch #332 w/ 128 samples
	2023.07.27.02.44.56.822338      			Retreving batch #333 w/ 128 samples
	2023.07.27.02.44.57.251159      			Retreving batch #334 w/ 128 samples
	2023.07.27.02.44.57.678537      			Retreving batch #335 w/ 128 samples
	2023.07.27.02.44.58.104411      			Retreving batch #336 w/ 128 samples
	2023.07.27.02.44.58.549222      			Retreving batch #337 w/ 128 samples
	2023.07.27.02.44.58.999748      			Retreving batch #338 w/ 128 samples
	2023.07.27.02.44.59.423551      			Retreving batch #339 w/ 128 samples
	2023.07.27.02.44.59.879333      			Retreving batch #340 w/ 128 samples
	2023.07.27.02.45.00.306192      			Retreving batch #341 w/ 128 samples
	2023.07.27.02.45.00.782917      			Retreving batch #342 w/ 128 samples
	2023.07.27.02.45.01.209981      			Retreving batch #343 w/ 128 samples
	2023.07.27.02.45.01.675103      			Retreving batch #344 w/ 128 samples
	2023.07.27.02.45.02.095994      			Retreving batch #345 w/ 128 samples
	2023.07.27.02.45.02.542263      			Retreving batch #346 w/ 128 samples
	2023.07.27.02.45.02.970599      			Retreving batch #347 w/ 128 samples
	2023.07.27.02.45.03.399452      			Retreving batch #348 w/ 128 samples
	2023.07.27.02.45.03.862214      			Retreving batch #349 w/ 128 samples
	2023.07.27.02.45.04.285487      			Retreving batch #350 w/ 128 samples
	2023.07.27.02.45.04.762891      			Retreving batch #351 w/ 128 samples
	2023.07.27.02.45.05.186402      			Retreving batch #352 w/ 128 samples
	2023.07.27.02.45.05.642190      			Retreving batch #353 w/ 128 samples
	2023.07.27.02.45.06.063577      			Retreving batch #354 w/ 128 samples
	2023.07.27.02.45.06.485788      			Retreving batch #355 w/ 128 samples
	2023.07.27.02.45.06.938578      			Retreving batch #356 w/ 128 samples
	2023.07.27.02.45.07.365212      			Retreving batch #357 w/ 128 samples
	2023.07.27.02.45.07.846419      			Retreving batch #358 w/ 128 samples
	2023.07.27.02.45.08.270963      			Retreving batch #359 w/ 128 samples
	2023.07.27.02.45.08.735160      			Retreving batch #360 w/ 128 samples
	2023.07.27.02.45.09.158347      			Retreving batch #361 w/ 128 samples
	2023.07.27.02.45.09.598432      			Retreving batch #362 w/ 128 samples
